best_program,fitness,raw_fitness,program_length,seed
"mul(sub(X1, mul(mul(0.242, X0), mul(X1, X1))), mul(0.247, X0))",0.0017839209935832344,0.0004839209935832343,13,8
"mul(mul(X1, 0.246), add(X0, mul(add(X0, mul(X0, mul(X0, mul(mul(X1, 0.246), -0.240)))), mul(X0, mul(X1, -0.240)))))",0.002674643455475926,0.0003746434554759263,23,20
"mul(mul(X0, 0.245), sub(X1, mul(X1, mul(mul(X0, 0.245), sub(X1, mul(X1, mul(mul(0.225, mul(X0, X1)), mul(X0, X1))))))))",0.0028510218269130563,0.00035102182691305623,25,3
"mul(mul(-0.248, X1), sub(mul(X1, mul(mul(X0, 0.242), X0)), X0))",0.0017939608881478966,0.0004939608881478966,13,44
"mul(sub(mul(mul(mul(X1, 0.169), mul(X1, X0)), X0), mul(X1, X0)), -0.236)",0.002414782796259606,0.000914782796259606,15,94
"mul(sub(mul(X1, X0), mul(mul(X1, mul(0.267, X0)), sub(mul(X0, X1), mul(mul(mul(mul(X1, mul(0.267, X0)), mul(X0, X1)), mul(0.267, X0)), mul(X0, X1))))), 0.251)",0.004052628354537817,0.0007526283545378169,33,90
"mul(X1, mul(-0.246, sub(mul(X0, mul(X1, mul(-0.246, sub(mul(X0, mul(mul(X0, mul(mul(0.233, X0), X1)), X1)), X0)))), X0)))",0.0028599086345374412,0.000359908634537441,25,48
"mul(X1, mul(0.242, sub(X0, mul(mul(X1, X0), mul(0.242, sub(X0, mul(sub(X0, mul(mul(X0, X1), mul(0.209, X0))), mul(0.209, X0))))))))",0.003147784769850624,0.00044778476985062374,27,77
"mul(add(-0.050, 0.294), mul(sub(X0, mul(X0, mul(add(-0.050, 0.294), mul(sub(X0, mul(X0, mul(mul(add(-0.050, 0.294), mul(sub(X0, mul(X0, mul(X0, mul(X1, 0.218)))), X1)), X0))), X1)))), X1))",0.004089786166414534,0.00038978616641453356,37,19
"mul(add(-0.924, mul(add(-0.924, mul(X0, 0.204)), mul(-0.264, mul(X1, X0)))), mul(-0.264, mul(X0, X1)))",0.002257461416882308,0.0003574614168823079,19,26
"mul(sub(X0, mul(mul(mul(X1, 0.198), X0), X0)), mul(X1, 0.241))",0.0018453018901412905,0.0005453018901412903,13,2
"mul(sub(X0, mul(0.215, mul(mul(X1, X0), X0))), mul(X1, 0.243))",0.0017098827088609927,0.00040988270886099245,13,47
